title,overview,release_date,genres,popularity,vote_average,vote_count
The Flash,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",2023-06-13,"Action, Adventure, Science Fiction",4631.142,6.9,1773
Barbie,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",2023-07-19,"Comedy, Adventure, Fantasy",4493.487,7.6,1621
Transformers: Rise of the Beasts,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",2023-06-06,"Action, Adventure, Science Fiction",4090.661,7.5,2065
The Little Mermaid,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",2023-05-18,"Adventure, Family, Fantasy, Romance",4075.869,6.4,1182
"Ruby Gillman, Teenage Kraken","Ruby Gillman, a sweet and awkward high school student, discovers she's a direct descendant of the warrior kraken queens. The kraken are sworn to protect the oceans of the world against the vain, power-hungry mermaids. Destined to inherit the throne from her commanding grandmother, Ruby must use her newfound powers to protect those she loves most.",2023-06-28,"Animation, Family, Fantasy, Comedy",2164.714,7.8,308
Guardians of the Galaxy Vol. 3,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",2023-05-03,"Science Fiction, Adventure, Action",2050.089,8.1,3583
Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",2023-05-17,"Action, Crime, Thriller",1701.572,7.3,3008
Warhorse One,A gunned down Navy SEAL Master Chief must guide a child to safety through a gauntlet of hostile Taliban insurgents and survive the brutal Afghanistan wilderness.,2023-06-30,"Action, Drama, War",1614.622,7.2,82
Oppenheimer,The story of J. Robert Oppenheimer’s role in the development of the atomic bomb during World War II.,2023-07-19,"Drama, History",1155.971,8.4,999
Sound of Freedom,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",2023-07-03,"Action, Drama",1131.431,8.0,240
Knights of the Zodiac,"When a headstrong street orphan, Seiya, in search of his abducted sister unwittingly taps into hidden powers, he discovers he might be the only person alive who can protect a reincarnated goddess, sent to watch over humanity. Can he let his past go and embrace his destiny to become a Knight of the Zodiac?",2023-04-27,"Fantasy, Action, Adventure",1128.403,6.6,656
The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",2023-04-05,"Animation, Family, Adventure, Fantasy, Comedy",1119.076,7.8,5941
Elemental,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",2023-06-14,"Animation, Comedy, Family, Fantasy, Romance",1075.329,7.6,650
Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",2023-05-31,"Action, Adventure, Animation, Science Fiction",1058.671,8.5,2541
John Wick: Chapter 4,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",2023-03-22,"Action, Thriller, Crime",1051.36,7.8,3960
Insidious: The Last Key,"Parapsychologist Elise Rainier and her team travel to Five Keys, NM, to investigate a man’s claim of a haunting. Terror soon strikes when Rainier realizes that the house he lives in was her family’s old home.",2018-01-03,"Horror, Mystery, Thriller",790.233,6.3,2579
Fresh,"Frustrated by scrolling dating apps only to end up on lame, tedious dates, Noa takes a chance by giving her number to the awkwardly charming Steve after a produce-section meet-cute at the grocery store.",2022-03-03,"Horror, Thriller, Comedy",784.952,7.0,1182
Quicksand,A married couple on the brink of divorce becomes trapped in quicksand while hiking through a Colombian rainforest. It’s a struggle for survival as they battle the elements of the jungle and must work together in order to escape.,2023-08-31,"Thriller, Horror",760.823,0.0,0
God Is a Bullet,"Based on true events and the novel of the same name. Vice detective Bob Hightower finds his ex-wife murdered and daughter kidnapped by a cult. Frustrated by the botched official investigations, he quits the force and infiltrates the cult to hunt down the leader with the help of the cult’s only female victim escapee, Case Hardin.",2023-06-22,"Action, Crime, Horror",749.107,6.3,50
Insidious: The Red Door,"To put their demons to rest once and for all, Josh Lambert and a college-aged Dalton Lambert must go deeper into The Further than ever before, facing their family's dark past and a host of new and more horrifying terrors that lurk behind the red door.",2023-07-05,"Horror, Mystery, Thriller",673.006,6.0,256
